"DAT_EMISSAO","TipoVeiculo","QTD_CHASSI","VALOR_TOTAL_NF"
"2006-08-09","Motocicleta",222,1513924.32
"2006-08-09","Automóvel",96,3087752.710000001
"2006-08-09","Ônibus e Microonibus",1,86197.8
"2006-08-09","Ônibus e Microonibus",6,1150286
"2006-08-09","Caminhonete",8,539419
"2006-08-09","Caminhão",1,94000
"2006-08-09","Outros",10,892743.3200000001
"2006-08-09","Outros",2,222100
"2006-08-10","Motocicleta",30,172670.66
"2006-08-10","Motocicleta",169,1048861.5299999998
"2006-08-10","Automóvel",99,3629661.8200000003
"2006-08-10","Caminhonete",4,212800
"2006-08-10","Caminhão",2,203000
"2006-08-10","Outros",12,1031679.08
"2006-08-10","Outros",1,157000
"2006-08-11","Motocicleta",20,116516.16999999998
"2006-08-11","Motocicleta",165,1259674.5700000003
"2006-08-11","Automóvel",112,3934067.1000000006
"2006-08-11","Ônibus e Microonibus",1,321500
"2006-08-11","Caminhonete",5,332951
"2006-08-11","Caminhão",1,136000
"2006-08-11","Outros",6,509071.68
"2006-08-11","Outros",2,235679.2
"2006-08-12","Motocicleta",9,48797.74
"2006-08-12","Motocicleta",46,286958.83
"2006-08-12","Automóvel",36,1006476.2300000002
"2006-08-12","Caminhonete",1,51500
"2006-08-12","Caminhão",25,2844958.2
"2006-08-12","Outros",3,79182.34
"2006-08-13","Motocicleta",2,10191
"2006-08-13","Motocicleta",1,5088
"2006-08-14","Motocicleta",12,67369
"2006-08-14","Motocicleta",99,750581.4399999998
"2006-08-14","Automóvel",123,4430189.4799999995
"2006-08-14","Ônibus e Microonibus",1,82108.37
"2006-08-14","Caminhonete",6,362366.3
"2006-08-14","Caminhão",3,327269
"2006-08-14","Outros",14,1169171.74
"2006-08-14","Outros",2,307800
"2006-08-15","Motocicleta",9,54018.2
"2006-08-15","Motocicleta",50,336560.38
"2006-08-15","Automóvel",46,1555329.4500000004
"2006-08-15","Ônibus e Microonibus",1,77000
"2006-08-15","Ônibus e Microonibus",5,965000
"2006-08-15","Caminhonete",1,53000
"2006-08-15","Outros",9,465787.26
"2006-08-16","Motocicleta",30,168171.30000000002
"2006-08-16","Motocicleta",184,1192413.8400000005
"2006-08-16","Automóvel",77,2769513.5500000003
"2006-08-16","Ônibus e Microonibus",1,90000
"2006-08-16","Caminhonete",9,326259.82
"2006-08-16","Caminhão",3,488700
"2006-08-16","Outros",20,1280473.06
"2006-08-16","Outros",6,719016.85
"2006-08-17","Motocicleta",26,151874.41
"2006-08-17","Motocicleta",197,1310683.5599999996
"2006-08-17","Automóvel",100,3540994.13
"2006-08-17","Ônibus e Microonibus",2,201697.8
"2006-08-17","Ônibus e Microonibus",1,223162
"2006-08-17","Caminhonete",7,280162.01
"2006-08-17","Caminhão",3,398231.02
"2006-08-17","Outros",6,483989.88
"2006-08-17","Outros",1,109000
"2006-08-18","Motocicleta",30,168536.86
"2006-08-18","Motocicleta",225,1442720.0599999998
"2006-08-18","Automóvel",130,4548141.97
"2006-08-18","Caminhonete",3,319000
"2006-08-18","Caminhão",3,277700
"2006-08-18","Outros",1,290000
"2006-08-18","Outros",16,1257207.1
"2006-08-18","Outros",1,153900
"2006-08-19","Motocicleta",12,68812.27
"2006-08-19","Motocicleta",72,444917.87
"2006-08-19","Automóvel",18,688590
"2006-08-19","Outros",4,330290
"2006-08-20","Motocicleta",1,5708
"2006-08-20","Automóvel",7,219670
"2006-08-21","Motocicleta",1,6100
"2006-08-21","Motocicleta",30,165995.3
"2006-08-21","Motocicleta",168,1123999.0000000002
"2006-08-21","Automóvel",165,5631889.4
"2006-08-21","Ônibus e Microonibus",3,225920.84999999998
"2006-08-21","Caminhonete",3,172515.4
"2006-08-21","Caminhão",11,1129930
"2006-08-21","Outros",1,210000
"2006-08-21","Outros",16,1249914
"2006-08-21","Outros",2,233900
"2006-08-22","Motocicleta",14,78282.2
"2006-08-22","Motocicleta",203,1354475.1600000004
"2006-08-22","Automóvel",154,4910974.319999999
"2006-08-22","Ônibus e Microonibus",1,75306.95
"2006-08-22","Caminhonete",5,201479.94
"2006-08-22","Caminhão",3,288600
"2006-08-22","Outros",15,1138920.3
"2006-08-22","Outros",4,545900
"2006-08-23","Motocicleta",39,225580.87999999998
"2006-08-23","Motocicleta",207,1307369.9300000004
"2006-08-23","Automóvel",73,2720279.23
"2006-08-23","Ônibus e Microonibus",2,258757
"2006-08-23","Caminhonete",6,262065.03999999998
"2006-08-23","Caminhão",3,244800.01
"2006-08-23","Outros",16,900094.79
"2006-08-23","Outros",2,275000
"2006-08-24","Motocicleta",41,234278.81999999998
"2006-08-24","Motocicleta",177,1148050.1999999997
"2006-08-24","Automóvel",155,5706456.4799999995
"2006-08-24","Ônibus e Microonibus",1,185762
"2006-08-24","Caminhonete",5,316089.79
"2006-08-24","Caminhão",11,1495500
"2006-08-24","Outros",15,1234017.62
"2006-08-24","Outros",5,714400
"2006-08-25","Motocicleta",29,166133.36
"2006-08-25","Motocicleta",229,1478827.9100000001
"2006-08-25","Automóvel",125,4229439.110000001
"2006-08-25","Ônibus e Microonibus",1,112000
"2006-08-25","Caminhonete",4,207484.97
"2006-08-25","Caminhão",10,1388100
"2006-08-25","Outros",6,495021
"2006-08-25","Outros",6,846600
"2006-08-26","Motocicleta",10,58144.920000000006
"2006-08-26","Motocicleta",56,368760.07
"2006-08-26","Automóvel",16,626688.65
"2006-08-26","Outros",2,145848.48
"2006-08-27","Motocicleta",1,5921.9
"2006-08-27","Automóvel",2,76505
"2006-08-28","Motocicleta",29,161109.16
"2006-08-28","Motocicleta",206,1382936.2699999998
"2006-08-28","Automóvel",160,5272179.199999998
"2006-08-28","Ônibus e Microonibus",4,339441.89
"2006-08-28","Caminhonete",9,623979.84
"2006-08-28","Caminhão",22,2728955.24
"2006-08-28","Outros",16,1044063.46
"2006-08-28","Outros",4,564900
